code,name,province_code,type,district_count,urban_village_count,rural_village_count,area_km2,population,source_page
1101,Kabupaten Aceh Selatan,11,regency,260,0,"4.174,211",239.629,12,18
1102,Kabupaten Aceh Tenggara,11,regency,"4.179,123",0,235.589,4,1974,18
1103,Kabupaten Aceh Timur,11,regency,"5.409,158",0,461.391,9,2024,18
1104,Kabupaten Aceh Tengah,11,regency,"4.468,417",0,232.606,8,2024,18
1105,Kabupaten Aceh Barat,11,regency,"2.782,606",0,209.220,11,2024,18
1106,Kabupaten Aceh Besar,11,regency,"2.891,227",0,442.987,6,2024,18
1107,Kabupaten Pidie,11,regency,"3.177,063",0,451.076,7,2024,18
1108,Kabupaten Aceh Utara,11,regency,"2.705,045",0,641.007,10,2024,18
1109,Kabupaten Simeulue,11,regency,8,0,2000,48,1999,18
1110,Kabupaten Aceh Singkil,11,regency,"1.851,615",0,140.461,14,1999,18
1111,Kabupaten Bireuen,11,regency,8,0,2000,48,1999,18
1112,Kabupaten Aceh Barat Daya,11,regency,"1.882,054",0,156.128,4,2002,18
1113,Kabupaten Gayo Lues,11,regency,"5.541,285",0,107.506,4,2002,18
1114,Kabupaten Aceh Jaya,11,regency,"3.870,566",0,101.407,4,2002,18
1115,Kabupaten Nagan Raya,11,regency,"3.523,283",0,181.103,4,2002,18
1116,Kabupaten Aceh Tamiang,11,regency,"2.187,817",0,312.061,4,2002,18
1117,Kabupaten Bener Meriah,11,regency,"1.907,399",0,181.376,41,2003,18
1118,Kabupaten Pidie Jaya,11,regency,"938,868",0,166.517,7,2007,18
1171,Kota Banda Aceh,11,city,"56,835",0,265.310,5,2024,18
1172,Kota Sabang,11,city,"121,867",0,42.793,10,1965,19
1173,Kota Lhokseumawe,11,city,"132,966",0,198.705,2,2001,19
1174,Kota Langsa,11,city,"224,203",0,183.914,3,2001,19
1175,Kota Subulussalam,11,city,"1.183,601",0,107.185,8,2007,19
