code,name,district_code,type
3274011001,Kejaksan,327401,kelurahan
3274011002,Sukapura,327401,kelurahan
3274011003,Kesenden,327401,kelurahan
3274011004,Kebonbaru,327401,kelurahan
3274021001,Pegambiran,327402,kelurahan
3274021002,Lemahwungkuk,327402,kelurahan
3274021003,Kesepuhan,327402,kelurahan
3274021004,Panjunan,327402,kelurahan
3274031001,Kalijaga,327403,kelurahan
3274031002,Harjamukti,327403,kelurahan
3274031003,Kecapi,327403,kelurahan
3274031004,Larangan,327403,kelurahan
3274031005,Argasunya,327403,kelurahan
3274041001,Jagasatru,327404,kelurahan
3274041002,Pekalipan,327404,kelurahan
3274041003,Pulasaren,327404,kelurahan
3274041004,Pekalangan,327404,kelurahan
3274051001,Pekiringan,327405,kelurahan
3274051002,Sunyaragi,327405,kelurahan
3274051003,Kesambi,327405,kelurahan
3274051004,Drajat,327405,kelurahan
3274051005,Karyamulya,327405,kelurahan
3275011001,Bekasijaya,327501,kelurahan
3275011002,Margahayu,327501,kelurahan
3275011003,Durenjaya,327501,kelurahan
3275011004,Arenjaya,327501,kelurahan
3275021001,Bintara,327502,kelurahan
3275021002,Kranji,327502,kelurahan
3275021003,Kotabaru,327502,kelurahan
3275021004,Bintarajaya,327502,kelurahan
3275021005,Jakasampurna,327502,kelurahan
3275031001,Kaliabang Tengah,327503,kelurahan
3275031002,Perwira,327503,kelurahan
3275031003,Harapanbaru,327503,kelurahan
3275031004,Teluk Pucung,327503,kelurahan
3275031005,Margamulya,327503,kelurahan
3275031006,Harapanjaya,327503,kelurahan
3275041001,Pekayonjaya,327504,kelurahan
3275041002,Margajaya,327504,kelurahan
3275041003,Jakamulya,327504,kelurahan
3275041004,Jakasetia,327504,kelurahan
3275041005,Kayuringinjaya,327504,kelurahan
3275051001,Bojong Rawalumbu,327505,kelurahan
3275051002,Pengasinan,327505,kelurahan
3275051003,Sepanjangjaya,327505,kelurahan
3275051004,Bojongmenteng,327505,kelurahan
3275061001,Medansatria,327506,kelurahan
3275061002,Harapanmulya,327506,kelurahan
3275061003,Pejuang,327506,kelurahan
3275061004,Kalibaru,327506,kelurahan
